,ITEM_NM,RATE,CONTENT,TAG,WRITE_DT
76,선택: 기본(머리고기+내장+순대),5,너무 맛있게 잘 먹었습니다! 조리방법도 그냥 끓이기만 해서 간편하고 너무 맛있어요! 다음에 또 주문하겠습니다!,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240903
77,선택: 기본(머리고기+내장+순대),5,빠른배송 꼼꼼한 포장 좋아용,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240903
78,선택: 기본(머리고기+내장+순대),5,순대국 주문한거중에서는 최고,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240903
79,선택: 기본(머리고기+내장+순대),5,육수 양이 조금 아쉽지만 맛이 좋아요. 내장보단 고기 비율이 높은 순대국을 좋아하는데 개인적으론 약간 아쉽습니다. 국물은 아주 훌륭해요. 많이 파세요.,"맛 만족도평범해요,유통기한꽤 남았어요,포장적당해요,",20240903
80,선택: 기본(머리고기+내장+순대),5,양도 푸짐 ! 얼큰해서 맛나용 ㅎㅎ,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240903
81,선택: 기본(머리고기+내장+순대),5,리뷰보고 구매했어요 역시나 진하고 양이 풍부햅니다 맛있어요,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240902
82,선택: 기본(머리고기+내장+순대),5,또 구매해요 ㅋㅋ잴루 맛나요!,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240902
83,선택: 기본(머리고기+내장+순대),5,너무 맛있게 먹어서 재주문 입니다 순대가 정말 맛있어요 다 먹으면 또 주문할께요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240902
84,선택: 살코기+순대,5,포장깔끔하고 재료 풍성하고 맛도 좋아요!,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240901
85,선택: 기본(머리고기+내장+순대),5,칼칼하고 맛있어서 대만족합니다.,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240901
86,선택: 기본(머리고기+내장+순대),5,아주 맛있게 4인가족이서 잘먹고있어요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240901
87,선택: 살코기+순대,5,아주맛있케 칼칼하게 잘먹고있습니다,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240901
88,선택: 순대만,5,아주 칼칼하게 맛있게 먹고있어요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240901
89,선택: 기본(머리고기+내장+순대),5,그냥 맛있음 계속 구매할듯,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240901
90,선택: 기본(머리고기+내장+순대),5,맛있어서 재구매했어요 한그릇하면 든든합니다,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240901
91,선택: 기본(머리고기+내장+순대),5,항상 잘 먹고 있습니다,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240901
92,선택: 기본(머리고기+내장+순대),5,배송 좀 걸려었어 그래도 갠찬아요 진짜 맛있어요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240901
93,선택: 기본(머리고기+내장+순대),5,맛있게 잘 먹었습니다~^^,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240901
94,선택: 기본(머리고기+내장+순대),5,잘 먹었습니다..#,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240901
95,선택: 기본(머리고기+내장+순대),5,좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요좋아요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240831
96,선택: 기본(머리고기+내장+순대),5,아들이 순대국 좋아해서 시켰는데 맛있다네요. 끓인 사진은 먹기 바빠서 못찍었어요ㅎㅎ,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240831
97,선택: 기본(머리고기+내장+순대),4,간편하게 먹기 좋아요,"맛 만족도평범해요,유통기한아주 넉넉해요,포장적당해요,",20240831
98,선택: 기본(머리고기+내장+순대),5,매콤하고 양도푸짐하고 맛있어요~^^,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240831
99,선택: 기본(머리고기+내장+순대),5,4번째 재주문!!!!!!!!!!!!,"유통기한꽤 남았어요,포장적당해요,맛 만족도맛있어요,",20240831
100,선택: 기본(머리고기+내장+순대),5,순대국 이거 넘 맛있어요 부추만 추가해서 먹으면 개꿀맛 소주3병이 줄줄,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240830
101,선택: 기본(머리고기+내장+순대),5,크~ 술이 없지어지네요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240830
102,선택: 기본(머리고기+내장+순대),5,"진짜 맛있네요 새우젓,들깨가루도 주고","유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240830
103,선택: 살코기+순대,5,집근처 맛집 국밥은 많은데 순대국밥은 여기못따라갑니다 !!,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240830
104,선택: 기본(머리고기+내장+순대),5,저번에 맛있게 먹고 잊고있다가 재주문했어요! 요거하나면 저녁메뉴 걱정끝!,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240830
105,선택: 기본(머리고기+내장+순대),5,잘받았습니다 빠른배송감사합니다,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240830
106,선택: 살코기+순대,5,너무맛있게먹었어요 또주문할께요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240830
107,선택: 살코기+순대,5,저희집 최애순대국입니다 남편이 엄청엄청 좋아해요 양념에서 고추 다빼고 맵기 조절하면 아이들도 한그릇 뚝딱해요 살고기도 부드럽고 맛있어요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240830
108,선택: 살코기+순대,5,맛있습니다 계속 시켜먹는 중,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240830
109,선택: 기본(머리고기+내장+순대),4,음식점에서 먹는것보다 훨씬 맛나고 양도 많은 것 같아요. 새우젓으로 간을 하면 좀 짤듯하네요 .,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240830
110,선택: 기본(머리고기+내장+순대),5,"재구매입니다. 배송시켜 먹어본 순대국 중에는 분명 가장 맛있지만. 11000원이라는 가격에 고개가 갸웃 했습니다. 식당에서 먹으면 밥에 반찬까지 포함되어 있는데, 그것도 빠지고, 배송비까지 생각하면 실제론 더 비싸다는 생각에, 추가 주문은 고민했었습니다. 맛은 어차피 고민거리가 아니고, 할인 가격이라고 하면 가성비도 최고라고 생각합니다.","유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240830
111,선택: 기본(머리고기+내장+순대),5,이제 국밥집 안가도 될정도에요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240830
112,선택: 기본(머리고기+내장+순대),5,얼큰하고 깔끔핫 국물 너무 맛있어요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240829
113,선택: 기본(머리고기+내장+순대),5,두번째 주문입니다. 맛있게 잘 먹었습니다 ^^,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240829
114,선택: 살코기+순대,5,고기양도 많이 들어있고 국물이 얼큰해서 땀뻘뻘 흘리면서 맛있게 먹었어요. 한번씩 생각날것같아요. 담에 또 주문할께요.,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240829
115,선택: 순대만,5,잘받았어요 잘 먹을게요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240829
116,선택: 살코기+순대,5,잘받았어요 잘 먹을게요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240829
117,선택: 기본(머리고기+내장+순대),5,냄새안나고 맛있네요 잘 먹을게요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240829
118,선택: 기본(머리고기+내장+순대),5,가족들이 넘 잘 먹어요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240828
119,선택: 살코기+순대,5,처음이라 딸아이한테 하나 보내줬는데 너무 맛있다거해요 이제 많이 시켜야겠어요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240828
120,선택: 순대만,5,좋네요 ~~~~~!,"유통기한꽤 남았어요,포장적당해요,맛 만족도맛있어요,",20240827
121,선택: 기본(머리고기+내장+순대),5,너무 맛있어서 재구매 했어요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240827
122,선택: 기본(머리고기+내장+순대),5,이제까지 맛본 순대국밥중 최고입니다 딸도 저도 완전 만족입니다 육수도 고기도 냄새없이 부드럽고 맛있어요 감사히 잘먹을게요,"유통기한꽤 남았어요,포장적당해요,맛 만족도맛있어요,",20240826
123,선택: 순대만,5,맛있어서담에또시켜먹어야죠,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240826
124,선택: 기본(머리고기+내장+순대),5,양도 많고 맛도 좋습니다 1팩으로 2인도 먹을수있을꺼 같습니다. 밥과 함께요. 밥말아서 술국으로 먹기도 좋고. 간이 싱거우면 새우젖으로 간조절도 가능합니다. 고기에 냄새도 안나고 좋습니다,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240825
125,선택: 순대만,4,잡내없이 깔끔하니 국물 한방울도 안남기고 다들 잘먹었어요,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240825
126,선택: 기본(머리고기+내장+순대),5,너무맛잇어요 홓ㅎ호허호,"유통기한꽤 남았어요,포장적당해요,맛 만족도맛있어요,",20240825
127,선택: 살코기+순대,5,양이 넉넉하고 맛있어요 건더기먹고 볶음밥도 만들어봤어요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240825
128,선택: 기본(머리고기+내장+순대),5,얼큰하고 맛있어요 남은 국물에 볶음밥도 도전해봤어요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240825
129,선택: 기본(머리고기+내장+순대),3,맛있어서 다시 주문했는데 날씨가 더워서그런지 아이스팩이 다 녹고 육수도 다 녹았네요.. 이런 무더위에는 포장하실때 아이스팩을 넉넉하게 넣어주시면 좋을거같아요.,"유통기한꽤 남았어요,포장별로예요,맛 만족도맛있어요,",20240825
130,선택: 살코기+순대,5,얼큰하고 맛있어요. 떨어지면 또 시킬께요,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240825
131,선택: 기본(머리고기+내장+순대),5,한번주문하고 맛있어서 세번째 주문한겁니다.,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240824
132,선택: 기본(머리고기+내장+순대),5,먹어보고 너무 맛있어서 재구매 했습니다. 진짜 맛있어요!,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240824
133,선택: 살코기+순대,5,늘 맛있게 먹고 있습니다 ㅎㅎ,"유통기한아주 넉넉해요,포장적당해요,맛 만족도맛있어요,",20240824
134,선택: 기본(머리고기+내장+순대),5,건더기양이 장난 아니네요~♡ 시장에 가면 한번씩 먹던 그 맛~ 2팩 뜯어서 3명이 푸짐하게 먹었습니다 다대기는 다 넣으면 짜니 적당히 넣으세요~,"유통기한꽤 남았어요,포장꼼꼼해요,맛 만족도맛있어요,",20240823
135,선택: 기본(머리고기+내장+순대),5,건더기 많습니다. 이 가격에 이정도면 최고네요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240823
136,선택: 살코기+순대,5,든든하고 맛있는 순대국밥 간편하고 맛있어요.,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240823
137,선택: 기본(머리고기+내장+순대),4,맛있어요 애들도 좋아하고 다만 다 녹아서 와서 별하나 뺐어요 너무 더워 그렇겠지요,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240823
138,선택: 기본(머리고기+내장+순대),5,푸짐하고 맛있어요.,"유통기한아주 넉넉해요,포장꼼꼼해요,맛 만족도맛있어요,",20240823
